s_State,s_Volume,s_state_id,s_lat,s_lon,e_locality,e_locality_id,e_lat,e_lon,e_Volume
Islam Qala - Taybad,1,Z5,34.70799,61.00488,Herat,AF32,34.059812,61.988025,230958
Spin Boldak –  Chaman,1,Z6,34.122641,71.093202,Nangarhar,AF06,34.272868,70.472553,204675
Spin Boldak –  Chaman,1,Z6,34.122641,71.093202,Kabul,AF01,34.554066,69.332594,146773
Bahramcha,1,Z3,29.42026,64.015136,Helmand,AF30,31.185119,64.052756,99669
Spin Boldak –  Chaman,1,Z6,30.955879,66.437425,Kandahar,AF27,31.052452,65.712547,84600
Ghulam Khan,1,Z4,34.70799,61.00488,Ghazni,AF11,33.298822,67.811789,62651
Spin Boldak –  Chaman,1,Z6,30.955879,66.437425,Herat,AF32,34.059812,61.988025,53579
Spin Boldak –  Chaman,1,Z6,30.955879,66.437425,Helmand,AF30,31.185119,64.052756,52793
Nazar Posta,1,Z9,30.955879,66.437425,Ghazni,AF11,33.298822,67.811789,45961
Islam Qala - Taybad,1,Z5,30.940568,66.39183,Kandahar,AF27,31.052452,65.712547,40001
Islam Qala - Taybad,1,Z5,34.70799,61.00488,Faryab,AF29,36.054515,64.859923,38620
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Farah,AF33,32.497557,62.462352,37945
Spin Boldak –  Chaman,1,Z6,34.122641,71.093202,Kunar,AF15,34.94148,71.098978,33328
Spin Boldak –  Chaman,1,Z6,34.122641,71.093202,Laghman,AF07,34.762935,70.170187,32277
Angor ada,1,Z2,32.519404,69.272673,Paktika,AF12,32.481676,68.751118,31828
Islam Qala - Taybad,1,Z5,34.70799,61.00488,Daykundi,AF24,33.764021,66.184738,31765
Ghulam Khan,1,Z4,34.70799,61.00488,Kabul,AF01,34.554066,69.332594,28124
Pul-e-Abrisham (Milak),1,Z8,30.96555,61.823383,Nimroz,AF34,30.789339,62.316668,25985
Islam Qala - Taybad,1,Z5,30.955879,66.437425,Kabul,AF01,34.554066,69.332594,25666
Torkham – Bab-i-Pakistan,1,Z7,30.96555,61.823383,Ghazni,AF11,33.298822,67.811789,24184
Islam Qala - Taybad,1,Z5,34.70799,61.00488,Ghor,AF23,34.223853,64.928959,23051
